"Date,AZN,DGE,BAE,BARC,BP,HSBC,LLOYDS,RR,SHEL,ULVR"
"02/01/2019,37.8,2761,464.9,150.68,507.3,646.6,51,277.76,59.34,4143"
"03/01/2019,38.33,2740,465,150.26,508.7,641.4,51.2,270.49,59.21,4121.5"
"04/01/2019,39.18,2740.5,473,155.1,520.8,656.5,52.8,283.39,60.55,4152"
"07/01/2019,38.78,2719,466,155.42,520.8,642.1,53.35,277.83,60.63,4105"
"08/01/2019,38.13,2735,474.8,157.32,519.8,649.1,53.7,291.69,60.26,4099.5"
"09/01/2019,37.8,2729.5,486.8,156.82,522.9,646.1,53.81,296.77,60.96,4096"
"10/01/2019,38.26,2733.5,491.4,159.34,527,651.4,54.78,295.06,61.24,4092"
"11/01/2019,36.95,2747,497,157.22,521.2,647.6,54.71,298.9,60.54,4100"
"14/01/2019,35.55,2724.5,496.6,159.12,520.8,639.4,55.54,296.29,60.41,4028.5"
"15/01/2019,36.11,2753.5,505.8,159.1,522.7,641.8,55.54,304.05,60.42,4078.5"
"16/01/2019,35.79,2718.5,505.4,161.4,516,647.2,56.13,304.05,60.03,3999"
"17/01/2019,36.29,2732.5,497.7,160.38,511,638.9,56.13,296.5,60.18,4022"
"18/01/2019,36.55,2753.5,510,165.86,523.3,651.8,58,307.2,61.07,4058"
"22/01/2019,36.27,2767,515,164.96,522.1,650,58,308.85,59.62,4054.5"
"23/01/2019,36.69,2753,511.6,163.26,512.6,641.3,57.43,305.49,58.91,4021.5"
"24/01/2019,35.79,2739,509,162.86,508.5,639,57.3,299.72,58.84,4032"
"25/01/2019,35.75,2735,513,162.66,511.9,633.1,57.68,299.59,59.17,4005.5"
"28/01/2019,35.49,2716,511,164.1,506.9,638,58.57,298.14,58.61,3975.5"
"29/01/2019,35.55,2701,504.4,160.08,494.9,631.1,57,294.51,58.84,3941"
"30/01/2019,35.95,2726.5,512.8,161.3,503,642.1,56.84,299.04,59.56,4027"
"31/01/2019,36.58,2772,514,161.84,511.4,651.9,58.33,304.12,61.73,4065.5"
"01/02/2019,36.65,2901.5,511.8,158.18,520.1,638.9,57.9,303.5,62.84,3984.5"
"04/02/2019,36.76,2901.5,516.4,158.62,521.5,639,58.18,308.85,63.41,4065"
"05/02/2019,37,2924,512.8,158.4,520.1,640.1,57.81,308.17,63.68,4103.5"
"06/02/2019,36.87,2965.5,521.8,160.52,547,653.5,58.04,314,63.84,4225.5"
"07/02/2019,36.94,2925,522.8,161.58,554,650.6,58.26,312.15,62.84,4170"
"08/02/2019,37.01,2965,518.4,156.42,547.3,641.5,57.2,309.81,62.9,4173"
"11/02/2019,36.68,2982,520.2,155.94,544,641.9,56.88,309.4,62.47,4176.5"
"12/02/2019,37.2,3005,520.6,156.84,544.3,650.5,57.72,313.79,63.16,4205.5"
"13/02/2019,36.58,2987,515,158.06,545.2,653.6,57.96,313.52,63.05,4256.5"
"14/02/2019,39.98,3024,517.4,158.02,551.2,658.9,57.86,323.13,62.1,4260.5"
"15/02/2019,40.92,3037,526,156.96,540.9,660.9,57.4,325.6,62.56,4250.5"
"19/02/2019,40.46,3064.5,527,159.5,543.5,665.9,58.44,333.35,63.15,4249"
"20/02/2019,40.53,3044,524.8,158.12,538,663.7,58.32,333.56,63.29,4257"
"21/02/2019,40.43,3020,511.6,159,536.8,637.1,58.37,334.52,62.36,4209"
"22/02/2019,40.94,3014.5,504.4,160.88,539.4,643.4,61.13,339.19,62.67,4236"
"25/02/2019,41.5,3026,464.8,160.78,538.9,623.1,60.33,336.85,62.55,4255.5"
"26/02/2019,41.98,3019.5,470.8,156.14,537.1,623.5,60,336.92,62.48,4190"
